hidden_ring_states,cycle_affinity,coherence_bound,minimum_extra_decay_at_omega_4
22,7.0,1.097259973265988,3.645444195047071
23,7.0,1.0986798310072732,3.6407330753790093
24,7.0,1.0999276550595904,3.636602808921368
25,7.0,1.10103009758569,3.632961540988839
26,7.0,1.1020088524354301,3.629734907446555
27,7.0,1.102881720237116,3.626862179871848
28,7.0,1.1036634162722654,3.6242933679095786
29,7.0,1.104366189636629,3.6219870162053085
30,7.0,1.1050003023601669,3.619908511750098
31,7.0,1.1055744034982555,3.6180287706944108
32,7.0,1.106095823670993,3.6163232103385967
33,7.0,1.106570808788869,3.6147709375940984
34,7.0,1.107004706885833,3.613354103301501
35,7.0,1.107402118499704,3.6120573847367705
36,7.0,1.1077670184987574,3.6108675680025106
37,7.0,1.1081028553805967,3.6097732088472347
38,7.0,1.1084126326769002,3.6087643555087405
39,7.0,1.108698976053321,3.6078323209415744
40,7.0,1.1089641889044362,3.6069694946161115
41,7.0,1.1092102986423502,3.6061691862182625
42,7.0,1.1094390954163098,3.6054254952129896
43,7.0,1.1096521646444117,3.604733201490938
44,7.0,1.1098509144615103,3.6040876732896727
45,7.0,1.11003659897081,3.6034847893381805
46,7.0,1.1102103380161572,3.6029208727668927
47,7.0,1.110373134057201,3.6023926347932873
48,7.0,1.110525886622319,3.6018971265641175
49,7.0,1.1106694047284298,3.6014316978309506
50,7.0,1.1108044175879326,3.600993961372462
51,7.0,1.1109315838673726,3.6005817622676717
52,7.0,1.1110514997173655,3.600193151278351
53,7.0,1.1111647057565766,3.5998263617241655
54,7.0,1.1112716931625342,3.599479789336235
55,7.0,1.1113729089974225,3.599151974658469
56,7.0,1.1114687608766762,3.598841587634889
57,7.0,1.1115596210714154,3.598547414077943
58,7.0,1.1116458301218175,3.5982683437598717
59,7.0,1.111727700026913,3.5980033599083363
60,7.0,1.1118055170665972,3.5977515299201377
4,8.0,0.7615941559557651,5.252141141997324
5,8.0,0.9139682051247376,4.3765198587560095
6,8.0,1.0094096711272167,3.962712181599335
7,8.0,1.0723315453457753,3.7301896203288436
8,8.0,1.1156495084624158,3.58535540925643
9,8.0,1.1465818101862923,3.4886302612371765
10,8.0,1.1693626660997276,3.4206667580225836
11,8.0,1.1865857506657111,3.371016378509414
12,8.0,1.1999018717486165,3.333605934100929
13,8.0,1.2103977465061029,3.304698816191849
14,8.0,1.2188102685914415,3.2818889888602043
15,8.0,1.2256523336124565,3.2635682161274087
16,8.0,1.231289263860805,3.24862736759166
17,8.0,1.2359866575345984,3.236280889939971
18,8.0,1.2399411752453675,3.2259594889317666
19,8.0,1.243300840697008,3.2172422547044657
20,8.0,1.2461787270294595,3.2098124556618597
21,8.0,1.2486623709607838,3.203427998652829
22,8.0,1.2508203674429148,3.1979012367517696
23,8.0,1.2527070666589635,3.193084885094656
24,8.0,1.254365970649383,3.1888620176209077
25,8.0,1.2558322240552937,3.1851388452856595
26,8.0,1.2571344641562434,3.181839424539759
27,8.0,1.258296211375804,3.1789017274608606
28,8.0,1.259336925908975,3.1762746868657454
29,8.0,1.260272818841178,3.173915949149807
